Fleet No,Operational Status,LFB,Make,Model,Type of Vehicle,Vehicle Category,Reg Year,Vehicle Life
ALP10,RESERVE,LFB,Daimler,Econic,Aerial Ladder Platform,N3,2007,15
ALP11,RESERVE,LFB,Daimler,Econic,Aerial Ladder Platform,N3,2007,15
ALP12,RESERVE,LFB,Daimler,Econic,Aerial Ladder Platform,N3,2007,15
ALP13,RESERVE,LFB,Daimler,Econic,Aerial Ladder Platform,N3,2007,15
ALP14,ACTIVE,LFB,Mercedes,Econic,Aerial Ladder Platform,N3,2008,15
ALP15,ACTIVE,LFB,Mercedes,Econic,Aerial Ladder Platform,N3,2008,15
ALP16,ACTIVE,LFB,Daimler,Econic,Aerial Ladder Platform,N3,2008,15
ALP17,ACTIVE,LFB,Daimler,Econic,Aerial Ladder Platform,N3,2008,15
ALP7M,ACTIVE,LFB,Mercedes,Econic 2628LL,Aerial Ladder Platform,N3,2002,15
ALP8M,ACTIVE,LFB,Mercedes,Econic 2628LL,Aerial Ladder Platform,N3,2002,15
ALP9M,ACTIVE,LFB,Mercedes,Econic 2628LL,Aerial Ladder Platform,N3,2002,15
AWD01,ACTIVE,LFB,LANDROVER,CHALLENGER 6x6,6 x 6 All Wheel Drive,N1,2003,10
BFU1,ACTIVE,LFB,Mercedes,Actros,Bulk Foam Unit,N3,2010,15
BFU2,ACTIVE,LFB,Mercedes,Actros,Bulk Foam Unit,N3,2010,15
BFU3,ACTIVE,LFB,Mercedes,Actros,Bulk Foam Unit,N3,2010,15
C955,ACTIVE,LFB,Vauxhall,Astra,Car Estate,M1,2009,5
CC 001,ACTIVE,LFB,Mercedes Benz,Sprinter,Panel Van,N1,2016,4
CE788,TRAINING,LFB,Ford,Mondeo Zetec 1.5 TDCI,Estate Car,M1,2016,5
CE789,TRAINING,LFB,Ford,Mondeo Zetec 1.5 TDCI,Estate Car,M1,2016,5
CH774,ACTIVE,LFB,Mitsubishi,Outlander PHEV,Car,M1,2016,5
CH775,ACTIVE,LFB,Mitsubishi,Outlander PHEV,Car,M1,2016,5
CH776,ACTIVE,LFB,Mitsubishi,Outlander PHEV,Car,M1,2016,5
CH777,ACTIVE,LFB,Volkswagen,Golf GTE,Car,M1,2016,5
